SDSPSC,AGENCY,Surigao del Sur State University (Surigao del Sur Polytechnic State College),SUCS,SS,Social Services
SSCT,AGENCY,Surigao State College of Technology,SUCS,SS,Social Services
AMPC,AGENCY,Adiong Memorial Polytechnic State College,SUCS,SS,Social Services
BASSC,AGENCY,Basilan State College,SUCS,SS,Social Services
MSU,AGENCY,Mindanao State University,SUCS,SS,Social Services
MSU-TCTO,AGENCY,MSU-Tawi-Tawi College of Technology and Oceanography,SUCS,SS,Social Services
SSC,AGENCY,Sulu State College,SUCS,SS,Social Services
TTRAC,AGENCY,Tawi-Tawi Regional Agricultural College,SUCS,SS,Social Services
OSEC-DOE,AGENCY,Office of the Secretary,DOE,ES,Economic Services
OSEC-DENR,AGENCY,Office of the Secretary,DENR,ES,Economic Services
EMB,AGENCY,Environmental Management Bureau,DENR,ES,Economic Services
MGB,AGENCY,Mines and Geo-Sciences Bureau,DENR,ES,Economic Services
NAMRIA,AGENCY,National Mapping and Resource Information Authority,DENR,ES,Economic Services
NWRB-DENR,AGENCY,National Water Resources Board,DENR,ES,Economic Services
PCSDS,AGENCY,Palawan Council for Sustainable Development Staff,DENR,ES,Economic Services
OSEC-DOF,AGENCY,Office of the Secretary,DOF,GPS,General Public Services
BOC,AGENCY,Bureau of Customs,DOF,GPS,General Public Services
BIR,AGENCY,Bureau of Internal Revenue,DOF,GPS,General Public Services
BLGF,AGENCY,Bureau of Local Government Finance,DOF,GPS,General Public Services
BTR,AGENCY,Bureau of the Treasury,DOF,GPS,General Public Services
CBAA,AGENCY,Central Board of Assessment Appeals,DOF,GPS,General Public Services
CDA-DOF,AGENCY,Cooperative Development Authority,DOF,GPS,General Public Services
FIRB,AGENCY,Fiscal Incentives Review Board,DOF
IC,AGENCY,Insurance Commission,DOF,GPS,General Public Services
NTRC,AGENCY,National Tax Research Center,DOF,GPS,General Public Services
PMO,AGENCY,Privatization and Management Office,DOF,GPS,General Public Services
SEC,AGENCY,Securities and Exchange Commission,DOF,GPS,General Public Services
OSEC-DFA,AGENCY,Office of the Secretary,DFA,GPS,General Public Services
FSI,AGENCY,Foreign Service Institute,DFA,GPS,General Public Services
TCCP,AGENCY,Technical Cooperation Council of the Philippines,DFA,GPS,General Public Services
UNESCO,AGENCY,UNESCO National Commission of the Philippines,DFA,GPS,General Public Services
OSEC-DOH,AGENCY,Office of the Secretary,DOH,SS,Social Services
POPCOM-DOH,AGENCY,Commission on Population,DOH,SS,Social Services
NNC-DOH,AGENCY,National Nutrition Council,DOH,SS,Social Services
OSEC-DILG,AGENCY,Office of the Secretary,DILG,GPS,General Public Services
BFP,AGENCY,Bureau of Fire Protection,DILG,GPS,General Public Services
BJMP,AGENCY,Bureau of Jail Management and Penology,DILG,GPS,General Public Services
LGA,AGENCY,Local Government Academy,DILG,SS,Social Services
NAPOLCOM,AGENCY,National Police Commission,DILG,GPS,General Public Services
PNP,AGENCY,Philippine National Police,DILG,GPS,General Public Services
PPSC,AGENCY,Philippine Public Safety College,DILG,SS,Social Services
OSEC-DOJ,AGENCY,Office of the Secretary,DOJ,GPS,General Public Services
BCOR,AGENCY,Bureau of Corrections,DOJ,GPS,General Public Services
BI,AGENCY,Bureau of Immigration,DOJ,GPS,General Public Services
COSLAP,AGENCY,Commission on the Settlement of Land Problems,DOJ
LRA,AGENCY,Land Registration Authority,DOJ,GPS,General Public Services
NBI,AGENCY,National Bureau of Investigation,DOJ,GPS,General Public Services
OGCC,AGENCY,Office of the Government Corporate Counsel,DOJ,GPS,General Public Services
OSG,AGENCY,Office of the Solicitor General,DOJ,GPS,General Public Services
PPA,AGENCY,Parole and Probation Administration,DOJ,GPS,General Public Services
PCGG-DOJ,AGENCY,Presidential Commission on Good Government,DOJ,GPS,General Public Services
PAO,AGENCY,Public Attorney's Office,DOJ,SS,Social Services
OSEC-DOLE,AGENCY,Office of the Secretary,DOLE,SS,Social Services
ILS,AGENCY,Institute for Labor Studies,DOLE,SS,Social Services
NCMB,AGENCY,National Conciliation and Mediation Board,DOLE,SS,Social Services
NLRC,AGENCY,National Labor Relations Commission,DOLE,SS,Social Services
NMP,AGENCY,National Maritime Polytechnic,DOLE,SS,Social Services
NWPC,AGENCY,National Wages and Productivity Commission,DOLE,SS,Social Services
POEA,AGENCY,Philippine Overseas Employment Administration,DOLE,SS,Social Services
PRC-DOLE,AGENCY,Professional Regulation Commission,DOLE,GPS,General Public Services
TESDA,AGENCY,Technical Education and Skills Development Authority,DOLE,SS,Social Services
